species_code,access_gradient_max,spawn_gradient_min,rear_gradient_min,cluster_rearing,cluster_direction,cluster_bridge_gradient,cluster_bridge_distance,cluster_confluence_m,cluster_spawning,cluster_spawn_direction,cluster_spawn_bridge_gradient,cluster_spawn_bridge_distance,cluster_spawn_confluence_m
BT,0.25,0.0025,0,FALSE,,,,,FALSE,,,,
CH,0.15,0.0025,0,TRUE,both,0.05,10000,10,FALSE,,,,
CM,0.15,0.0025,0,FALSE,,,,,FALSE,,,,
CO,0.15,0.0025,0,TRUE,both,0.05,10000,10,FALSE,,,,
CT,0.25,0.0025,0,FALSE,,,,,FALSE,,,,
DV,0.25,0.0025,0,FALSE,,,,,FALSE,,,,
KO,0.15,0.0025,0,FALSE,,,,,TRUE,both,0.05,3000,10
PK,0.15,0.0025,0,FALSE,,,,,FALSE,,,,
RB,0.25,0.0025,0,FALSE,,,,,FALSE,,,,
SK,0.15,0.0025,0,TRUE,both,0.05,10000,10,TRUE,both,0.05,3000,10
ST,0.20,0.0025,0,TRUE,both,0.05,10000,10,FALSE,,,,
WCT,0.20,0.0025,0,TRUE,both,0.05,10000,10,FALSE,,,,
